Title,Download_link
Искусственный интеллект Современный подход,http://libgen.rs/get?&md5=0A7585F9FF302E57D810242A03AC6B8A
Введение в искусственный интеллект конспект лекций,http://libgen.rs/get?&md5=BD630071DA91307D1EE94926DC6D8936
Мозг человека и искусственный интеллект,http://libgen.rs/get?&md5=BF90CEE518F7AC75AB7C9EFD88D81318
Искусственный интеллект Справочник Книга 3 Программные и аппаратные средства,http://libgen.rs/get?&md5=4F09B4EDC2BA9CC2DBC7479EA7C7B43A
Искусственный интеллект Справочник Книга 1 Системы общения и экспертные системы,http://libgen.rs/get?&md5=2B965E2CE9054FB95C582883433D0415
Искусственный интеллект Справочник Книга 2 Модели и методы,http://libgen.rs/get?&md5=7059939351DE932240AE24BDCC7EB314
Искусственный интеллект и экспертные системы Курс лекций,http://libgen.rs/get?&md5=3B6B78D8A9F8276CAF82B68AE39F63FD
Искусственный интеллект  гносеологический аспект,http://libgen.rs/get?&md5=4240190122544F75D85B4443A4816D0C
Искусственный интеллект,http://libgen.rs/get?&md5=9108A18013411CAD0997B498999EDC83
Искусственный интеллект Введение,http://libgen.rs/get?&md5=ACFBF323EAE661DFB8380C853C75CDE4
Искусственный интеллект Методы поиска решений,http://libgen.rs/get?&md5=061A3E3402349AB7C4DF5A62EA84E8BA
Введение в искусственный интеллект,http://libgen.rs/get?&md5=15BF00869902DE1EC1616FEC774AAB3F
Введение в искусственный интеллект,http://libgen.rs/get?&md5=1C145875F32D879E1AFD4D7B43CA04D9
Архитектура ЭВМ и искусственный интеллект,http://libgen.rs/get?&md5=3EF07197F59CF08EBA5BA206EB210C02
Искусственный интеллект Учебное пособие,http://libgen.rs/get?&md5=C3A757839FCA2AD91B5225718CB5B6F1
Введение в искусственный интеллект Рабочая программа методические указания к изучению дисциплины задания на контрольную работу методические указания к выполнению контрольной работы и методические указания к проведению лабораторных работ,http://libgen.rs/get?&md5=273DCCE28A8537199563CD1F40DD5E11
Искусственный интеллект в математике  универсальный математический решатель,http://libgen.rs/get?&md5=7BB79ACC6B7BADD02E7C289A5B08A4A8
Искусственный интеллект,http://libgen.rs/get?&md5=B18722879D6AAEEA4DFB189786C7CFD8
Искусственный интеллект и интеллектуальные системы управления,http://libgen.rs/get?&md5=F7538069AA484D31177A34DF3F6A4297
Искусственный интеллект Стратегии и методы решения сложных проблем,http://libgen.rs/get?&md5=E3F62E75E369167EBA5A2912042F8064
Искусственный интеллект и интеллектуальные системы управления,http://libgen.rs/get?&md5=C82F82AF616F0D14A35B90B46B2A7918
Искусственный интеллект Применение в интегрированных производственных системах,http://libgen.rs/get?&md5=40BE899EA89F79C3998826A7408BB439
Универсальный искусственный интеллект и экспертные системы,http://libgen.rs/get?&md5=EDB142AF81A500E8B15EAFB5ADC632F8
Искусственный интеллект Элективный курс учебное  пособие,http://libgen.rs/get?&md5=7CC3F5F15F92E82072771D3C640FB7D6
Искусственный интеллект Мездисциплинарный подход,http://libgen.rs/get?&md5=F22247EBADACDC0E828A9E5D5A5A16E7
Машинное обучение Наука и искусство построения алгоритмов которые извлекают знания из данных,http://libgen.rs/get?&md5=F91F66D545A86C51B7A8437D8CA12D75
Машинное обучение Построение алгоритмов которые извлекают знания из данных,http://libgen.rs/get?&md5=36FD97B3F0804DDE9FD32ED7CA7FB644
Машинное обучение Наука и искусство построения алгоритмов которые извлекают знания из данных,http://libgen.rs/get?&md5=8F61B291B3E305D2A44E32D567F47537
Машинное обучение,http://libgen.rs/get?&md5=B679B9C9134448DB7B62C56240814268
Введение в машинное обучение с помощью Python Руководство для специалистов по работе с данными,http://libgen.rs/get?&md5=92D41009BDA644918CBEF3D5D5973BE8
Python для сложных задач наука о данных и машинное обучение,http://libgen.rs/get?&md5=8941A8AD6B0B89DF39AD20A06BFAE094
Python для сложных задач Наука о данных и машинное обучение,http://libgen.rs/get?&md5=EEBA58AE843D1C21887C6C1FD2886686
Python и машинное обучение,http://libgen.rs/get?&md5=5EAF0737ED44068D8F7D8F896D4579B7
Python и машинное обучение,http://libgen.rs/get?&md5=DE82063312BEE08B557EACF98CCCC77E
Машинное обучение с использованием библиотеки Н2О,http://libgen.rs/get?&md5=B58F88590D7636FCE07B124ED182A611
Машинное обучение и TensorFlow,http://libgen.rs/get?&md5=6E2881D1E69E20B8C6DC657527C1019B
Python и машинное обучение крайне необходимое пособие по новейшей предсказательной аналитике обязательное для более глубокого понимания методологии машинного обучения,http://libgen.rs/get?&md5=340062377A197DB8759D0C6403C95255
Крупномасштабное машинное обучение вместе с Python,http://libgen.rs/get?&md5=F3E7C9CC417ECAF8CB20F3454BD13D82
Крупномасштабное машинное обучение вместе с Python,http://libgen.rs/get?&md5=8FE7FDE54F5D36F086359FE61AA56AC7
Прагматичный ИИ Машинное обучение и облачные технологии,http://libgen.rs/get?&md5=31CC3454AC4E69A46EA9D086D4F6EB69
Прикладной анализ текстовых данных на Python Машинное обучение и создание приложений обработки естественного языка,http://libgen.rs/get?&md5=B0E3C55C669A486EE5EFC3D585D7475E
Крупномаштабное машинное обучение вместе с Python,http://libgen.rs/get?&md5=90AECE0F5086B8E3732A62278CADB2DE
Машинное обучение и TensorFlow,http://libgen.rs/get?&md5=AC02E5CF00A119761B3F2C9990F774BF
Машинное обучение и облачные технологии,http://libgen.rs/get?&md5=2753EA713C561B381999F2B259BD0EC0
Машинное обучение Наука и искусство построения алгоритмов которые извлекают знания из данных,http://libgen.rs/get?&md5=8099EBCC6F81B5A620C1BEAB88E55FE8
Прикладное машинное обучение с помощью scikitlearn и tensorflow,http://libgen.rs/get?&md5=3D8FC49632C78C16AEA77CA7D6894A6E
Прикладное машинное обучение с помощью ScikitLearn и TensorFlow концепции инструменты и техники для создания интеллектуальных систем,http://libgen.rs/get?&md5=C8ED354E89541B3FB43B3DA5C9D0DC78
Верховный алгоритм как машинное обучение изменит наш мир,http://libgen.rs/get?&md5=4C14AA3EBE9B31677F0B3D861AB89362
Интеллектуальный анализ данных в управлении производственными системами подходы и методы  Intelligent data analysis in the management of production systems approaches and methods монография,http://libgen.rs/get?&md5=12172FF02B9842A38025254EE811379E
Машинное обучение с использованием Python Сборник рецептов,http://libgen.rs/get?&md5=65256AEE239C9155BA41CB5DF9C56408
Глубокое обучение,http://libgen.rs/get?&md5=2486E541029583877C7E6643778B9E47
Глубокое обучение Погружение в мир нейронных сетей,http://libgen.rs/get?&md5=809AD26AE4C6BB24B6C8AB53373771F0
Глубокое обучение,http://libgen.rs/get?&md5=0A85738BDC86EDA4D39C7BB526E764ED
Глубокое обучение,http://libgen.rs/get?&md5=3A41EE44BCE43FF1AB66FD2630ED8CAC
Глубокое обучение на Python,http://libgen.rs/get?&md5=C3AD2D7E6EE41CF2818EEF891A984FDD
Глубокое обучение на  Python,http://libgen.rs/get?&md5=900D739E4B0305A0422F4DC23E0CC76C
Глубокое обучение Погружение в мир нейронных сетей,http://libgen.rs/get?&md5=D3A0064BB131A9D0A3B6B2834B6B6CD7
Грокаем глубокое обучение,http://libgen.rs/get?&md5=2659D060CB443C19E67F516DA71C8857
Глубокое обучение с точки зрения практика,http://libgen.rs/get?&md5=5582E21670AEE2895F5E907A53D61EDE
Знакомство с PyTorch глубокое обучение при обработке естественного языка,http://libgen.rs/get?&md5=710E9736028005B570740B4525D203B5
Нейронные сети и глубокое обучение учебный курс,http://libgen.rs/get?&md5=786C8A230FB0386052128BCED5C07653
Глубокое обучение без математики Основы,http://libgen.rs/get?&md5=88F2CD6C26CDCF8831FECEE076497B4F
Глубокое обучение без математики Практика,http://libgen.rs/get?&md5=42FEB6FD376E3C5FE6EE063D7E952F44
Прикладное глубокое обучение подход к пониманию глубоких нейронных сетей на основе метода кейсов,http://libgen.rs/get?&md5=D60A78C32635E82A189B6F40AF277CE7
Грокаем глубокое обучение,http://libgen.rs/get?&md5=507026E50DD01D2D433875697B3B88C0
Глубокое обучение на R,http://libgen.rs/get?&md5=520725DCEF10C01C247262D86E15E118
Глубокое обучение на Python,http://libgen.rs/get?&md5=893C57187DA14720B9CE83328999C774
Глубокое обучение с точки зрения практика,http://libgen.rs/get?&md5=F652CD16A462F9D5ED6F89EE84A0D257
Введение в глубокое обучение,http://libgen.rs/get?&md5=45CD2242580106450E0609EF9714C813
Глубокое обучение без математики Том 1 Основы,http://libgen.rs/get?&md5=D5E12C62C405C0E9295D2F00E399EE19
Глубокое обучение без математики Том 2 Практика,http://libgen.rs/get?&md5=CD9A9D1EFC1265322F6B98506114CD7C
Глубокое обучение и игра в го,http://libgen.rs/get?&md5=CEE437052F474EB67923F161AFAA69C2
Глубокое обучение в биологии и медицине,http://libgen.rs/get?&md5=6F932CD0B5233210875E9EA88921A23D
Генеративное глубокое обучение Творческий потенциал нейронных сетей,http://libgen.rs/get?&md5=8C2AD78802E30938B399B79D6D227376
Генеративное глубокое обучение Творческий потенциал нейронных сетей,http://libgen.rs/get?&md5=B4920699EBE9FD7DA280F738711D34D8
Нейронные сети Эксперим учеб пособие,http://libgen.rs/get?&md5=DC3791D20197E0BBD288076ECABE982C
Нечеткая логика и искусственные нейронные сети Учеб пособие для студентов вузов обучающихся по специальности Прикладная информ,http://libgen.rs/get?&md5=2C1995F09B3B20C6369BA7EAF5458D46
Нейронные сети Полный курс,http://libgen.rs/get?&md5=B7B817F2E83141BA00B6F552BC484B5B
Нейронные сети распознавание управление принятие решений,http://libgen.rs/get?&md5=1384E230212042E4074677EFD466AC99
Введение в исскуственные нейронные сети,http://libgen.rs/get?&md5=98FC48DBF719AF554B7513F96C2448CD
Нечеткая логика и искусственные нейронные сети,http://libgen.rs/get?&md5=A0FF16AB3B385BCFE9D82009AEB5D5F5
Нейронные сети полный курс,http://libgen.rs/get?&md5=625E0937FF6039C90FF0B65C231F0C40
Генетические алгоритмы искусственные нейронные сети,http://libgen.rs/get?&md5=4A36C3CC1C9DD1735B57BB8103B2EA81
Нейронные сети основные модели,http://libgen.rs/get?&md5=F3ED4666A98BA4DCEBAB8EAC50B93F2A
Нейронные сети Полный курс,http://libgen.rs/get?&md5=8028381DFCDBC0F0AF289BDC3D362A30
Искусственные нейронные сети,http://libgen.rs/get?&md5=3FFE1B9F5CFC6C462EF58568ED20854E
Генетические алгоритмы искусственные нейронные сети и проблемы виртуальной реальности,http://libgen.rs/get?&md5=57878DD6E0D755F3C56F35F31CF8DFC7
Фракталы аттракторы нейронные сети и все такое,http://libgen.rs/get?&md5=CAF11BDF7813E83C4345CC1E0766224D
